"","alt","temp2m","humidity","precip","atm","wind","m.fapar","classes[cv.train, rotulo]"
"92",0.155283841927131,0.764801297648013,0.850119585437151,0.674491392801252,0.946296296296296,0.0416606560687805,0.905476107429369,"1"
"93",0.0881021815326737,0.788321167883211,0.899282487377093,0.737089201877934,0.946296296296296,0.124578056028389,0.92806069061737,"1"
"94",0.0434643167476298,0.836171938361719,0.857560457082115,0.672926447574335,0.946296296296296,0.178615735264418,0.851325427275898,"1"
"95",0.17135272746349,0.862935928629359,0.463991496146691,0.50547730829421,0.946296296296296,0.216987392169874,0.476979420997558,"0"
"96",0.183926495149276,0.869424168694241,0.410842412968376,0.4679186228482,0.946296296296296,0.211967340815326,0.529211719567492,"1"
"97",0.239680936428177,0.849148418491484,0.351049694392772,0.353677621283255,0.946296296296296,0.20665878076224,0.415416811998605,"1"
"98",0.235357434092449,0.877534468775345,0.260430507573744,0.291079812206573,0.946296296296296,0.212169296904302,0.420648761771887,"0"
"99",0.406047803401507,0.781832927818329,0.166622375764018,0.100156494522692,0.946296296296296,0.292259311618245,0.276159748866411,"0"
"100",0.455543136161531,0.789943227899432,0.167419612011693,0.114241001564945,0.946296296296296,0.298895011684602,0.26552145099407,"0"
"102",0.327010599597504,0.697485806974858,0.519000797236247,0.187793427230047,0.946296296296296,0.302962984333978,0.352807813044995,"0"
"103",0.119283643539314,0.771289537712895,0.584108424129684,0.33489827856025,0.946296296296296,0.311041227893021,0.509243111266132,"1"
"104",0.0262478754389688,0.843471208434712,0.624767472761095,0.433489827856025,0.946296296296296,0.312310666166585,0.557028252528776,"0"
"105",0.16791930666159,0.780210867802109,0.787137921870848,0.632237871674491,0.933333333333333,0.0399873056172644,0.956749215207534,"0"
"106",0.16135672206658,0.748580697485807,0.872442200372044,0.701095461658842,0.933333333333333,0.0617697123568276,0.95735960934775,"1"
"107",0.158527056284388,0.751013787510138,0.883337762423598,0.724569640062598,0.933333333333333,0.06782839502611,0.965643529822113,"0"
"108",0.149495902672025,0.831305758313057,0.588626096199841,0.561815336463224,0.933333333333333,0.230518450131271,0.570108126961981,"0"
"109",0.17706430948279,0.836171938361719,0.512357161838958,0.533646322378717,0.933333333333333,0.226161968783359,0.446808510638298,"1"
"110",0.258881604397928,0.859691808596918,0.274249269200106,0.339593114241002,0.933333333333333,0.215083234759528,0.427711893965818,"1"
"112",0.387019872608221,0.872668288726683,0.077066170608557,0.0422535211267606,0.933333333333333,0.295923372089669,0.231688175793512,"0"
"113",0.332054309231632,0.883211678832117,0.0837098060058463,0.0453834115805947,0.933333333333333,0.301145379533193,0.21180676665504,"0"
"114",0.328153641133665,0.882400648824006,0.089024714323678,0.0485133020344288,0.933333333333333,0.307694526989989,0.198465294733171,"0"
"115",0.493320953458952,0.855636658556367,0.105766675524847,0.05320813771518,0.933333333333333,0.317763480568939,0.235088943146146,"1"
"116",0.396417315770301,0.826439578264396,0.127823545043848,0.0579029733959312,0.933333333333333,0.318715559274112,0.165765608650157,"0"
